Date,qaqc.check,sampleid,sample_type,farm,treatment,initialweight_g,filtered_volume_ml,final_weight_g,TSS_mgl,TUR_ntu,tur.std.check,NO3.NO2_mgl,TKN_mgl,TN_mgl,tn.std.check,TIP_mgl,tip.std.check,NH3_mgl,nh3.std.check,OrthoP_mgl,orthop.std.check,NOx_mgl,nox.std.check,NO2_mgl,no2.std.check,NO3_mgl,event_disch_l,acft_discharge,in_runoff_ac,TSS_kg,TN_kg,TIP_kg,TSS_lb,TN_lb,TIP_lb,TSS_lbac,TN_lbac,TIP_lbac,dissolvedO2_mg_l,dissolvedO2_sat_per,turbidity_sonde_ntu,watertemp_c
2/13/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.0923,50,0.1084,322,461,TRUE,1.836,0.835,1.67,FALSE,2.33,TRUE,-0.0475,TRUE,0.104,TRUE,0.073,FALSE,-0.0322,TRUE,0.048,1664368,1.349537825,0.839525863,535.926496,2.77949456,3.87797744,1181.503553,6.127673707,8.549389064,61.24953619,0.317660638,0.443203166,,,,
2/13/2018,TRUE,PRE1,EOF,PRE,CCMT,0.0922,20,0.2592,8350,9510,TRUE,7.2,-0.29,6.91,FALSE,18.5,TRUE,0.0657,TRUE,0.0899,TRUE,0.908,FALSE,-0.0303,TRUE,0.883,397023.252,0.321922733,0.105490792,3315.144154,2.743430671,7.344930162,7308.566802,6.048167258,16.19263304,199.5785582,0.16516022,0.442180039,,,,
2/13/2018,TRUE,SCH1,EOF,SCH,CCMT,0.0969,50,0.1077,216,233,TRUE,0.832,0.958,1.79,FALSE,2.68,TRUE,0.0758,TRUE,0.463,TRUE,0.0524,FALSE,-0.0312,TRUE,0.0274,2064556,1.674026666,1.935290943,445.944096,3.69555524,5.53301008,983.128354,8.147221082,12.19807402,94.71371426,0.784896058,1.17515164,,,,
2/13/2018,TRUE,SCH2,EOF,SCH,FBM,0.0907,50,0.6513,11212,706,TRUE,1.58,1.16,2.74,FALSE,5.28,TRUE,-0.105,TRUE,0.702,TRUE,0.238,FALSE,-0.0268,TRUE,0.213,935819.2,0.758800582,0.998421819,10492.40487,2.564144608,4.941125376,23131.55578,5.652913203,10.893205,2536.3548,0.619836974,1.194430373,,,,
2/15/2018,FALSE,MUZ1,EOF,MUZ,CCMT,0.0913,50,0.1049,272,351.57,FALSE,0.505,0.567,1.07,FALSE,0.194,FALSE,0.127,TRUE,0.202,TRUE,0.0201,TRUE,-0.0435,TRUE,-0.0049,45914.37,0.037229254,0.023159723,12.48870864,0.049128376,0.008907388,27.53260707,0.108308418,0.019637227,1.427299485,0.005614744,0.001018,,,,
2/15/2018,FALSE,PRE1,EOF,PRE,CCMT,0.0958,50,0.1776,1636,2058.1,FALSE,0.944,1.35,2.3,FALSE,3.61,FALSE,0.215,TRUE,0.17,TRUE,0.187,TRUE,-0.0327,TRUE,0.162,1014118.88,0.822289174,0.269455764,1659.098488,2.332473424,3.660969157,3657.648526,5.142170911,8.070972603,99.8811722,0.140419741,0.220397941,,,,
2/15/2018,FALSE,PRE2,EOF,PRE,FBM,0.0946,50,0.1539,1186,1162.3,FALSE,1.19,1.25,2.44,FALSE,4.93,FALSE,0.025,TRUE,0.325,TRUE,0.334,TRUE,-0.0394,TRUE,0.309,,,,,,,,,,,,,,,,
2/15/2018,FALSE,SCH1,EOF,SCH,CCMT,0.1016,50,0.1033,34,339.12,FALSE,0.583,1.46,2.04,FALSE,2.13,FALSE,-0.000136,TRUE,0.651,TRUE,0.0359,TRUE,-0.0477,TRUE,0.0109,1100470,0.892306203,1.031567864,37.41598,2.2449588,2.3440011,82.48726951,4.94923617,5.167584825,7.946750434,0.476805026,0.497840542,,,,
2/15/2018,FALSE,SIM1,EOF,SIM,CCMT,0.0943,50,0.1024,162,133.98,FALSE,0.351,0.744,1.09,FALSE,0.05,FALSE,0.183,TRUE,0.262,TRUE,0.0035,TRUE,-0.0456,TRUE,-0.0215,7373.799,0.005978979,0.005020836,1.194555438,0.008037441,0.00036869,2.633516919,0.017719342,0.000812814,0.184290897,0.001239982,5.69E-05,,,,
2/15/2018,FALSE,SIM2,EOF,SIM,FBM,0.094,50,0.165,1420,3661,FALSE,1.36,0.999,2.35,FALSE,3.08,FALSE,0.000676,TRUE,0.128,TRUE,0.412,TRUE,-0.039,TRUE,0.387,25620.49,0.020774144,0.014172241,36.3810958,0.060208152,0.078911109,80.2057638,0.132734891,0.173967431,4.55973643,0.007546043,0.009890133,,,,
