DATE/TIME,Date Analyzed,LOCCODE,ST/GRB,Alk,NH3,TSS,Nitrate,Nitrite,NN,,TP,Turbidity,DIP,TIP,TN,OrgN,TOC,COD,Cl,TKN
6/25/2014,,HN4,GRB,46.5,11.5,91,,,2.19,,0.54,,,,,,2.54,17,23,13.8
8/12/2014,,HN4,GRB,50.4,1.27,26,,,2.05,,0.40,,,,,,0.22,11,29,8.2
10/16/2014,,HN4,GRB,56.6,0.73,34,,,0.21,,0.41,,,,,,0.07,11,26,13.0
12/7/2014,,HN4,GRB,31.9,0.53,92,,,2.11,,1.04,,,,,,0.15,10,23,14.5
1/14/2015,,HN4,GRB,32.5,0.81,42,,,0.61,,0.52,,,,,,0.22,12,33,26.8
12/1/2010,12/3/2010,HN4,GRB,,0.09,100,0.706,0.021,0.727,0.528203456,0.987936094,262,1.62,3.03,,,,,,
1/19/2011,1/20/2011,HN4,GRB,,0,46,3.88,0.00507,3.88507,0.150961852,0.317248125,107,0.463,0.973,,,,,,
1/26/2011,1/27/2011,HN4,GRB,,0.051,134,1.07,0.0121,1.0821,0.221388979,0.671666123,250,0.679,2.06,,,,,,
2/16/2011,2/17/2011,HN4,GRB,,0.082,82,0.176,0,0.176,0.061949788,0.443430062,186,0.19,1.36,,,,,,
3/2/2011,3/3/2011,HN4,GRB,,2.16,630,1.1063,0.0537,1.16,0.048907727,1.30746658,1546,0.15,4.01,,,,,,
3/7/2011,3/8/2011,HN4,GRB,,0.278,215,0.822,0.058,0.88,0.058689273,0.200521682,573,0.18,0.615,,,,,,
3/15/2011,3/16/2011,HN4,GRB,,0.231,100,0.32653,0.00647,0.333,0.166286273,0.266384089,139,0.51,0.817,,,,,,
3/30/2011,3/31/2011,HN4,GRB,,2.41,364,4.4278,0.0222,4.45,0.270622758,0.792305184,384,0.83,2.43,,,,,,
4/20/2011,4/21/2011,HN4,GRB,,1.43,500,2.97,0.22,3.19,0.358656668,1.180306488,759,1.1,3.62,,,,,,
4/25/2011,4/26/2011,HN4,GRB,,0.361,70,1.0078,0.0322,1.04,0.345614607,0.443430062,94.3,1.06,1.36,,,,,,
3/15/2011,3/16/2011,HN4,GRB FD,,0.311,126.67,0.34878,0.00122,0.35,0.09455494,0.443430062,180,0.29,1.36,,,,,,
4/20/2011,4/21/2011,HN4,GRB FD,,1.61,500,0.005,0.222,0.227,0.30322791,1.186827519,608,0.93,3.64,,,,,,
12/8/2011,,HN5,GRB,37.0,0.76,13,,,0.20,,0.38,,,,0.96,.,<MQL,15,59,5.0
1/19/2012,,HN5,GRB,56.1,1.10,32,,,0.06,,0.30,,,,1.16,.,<MQL,22,59,3.4
1/28/2012,,HN5,GRB,44.2,0.91,44,,,<MQL,,0.41,,,,.,0.85,0.06,19,53,5.8
2/20/2012,,HN5,GRB,42.7,0.62,98,,,0.03,,0.48,,,,0.65,.,<MQL,13,79,12.2
5/16/2012,,HN5,GRB,188,1.49,9,,,0.79,,0.12,,,,2.28,1.19,0.30,11,26,7.4
6/6/2012,,HN5,GRB,129,1.77,30,,,0.02,,0.31,,,,1.79,1.44,0.33,19,48,5.7
7/8/2012,,HN5,GRB,277,1.25,133,,,<MQL,,0.46,,,,.,.,<MQL,12,32,7.9
8/8/2012,,HN5,GRB,284,0.71,4,,,<MQL,,0.40,,,,.,.,<MQL,12,24,6.6
12/12/2012,,HN5,GRB,36.2,0.93,26,,,0.79,,0.38,,,,1.72,.,<MQL,17,51,23.9
2/4/2013,,HN5,GRB,46.2,1.17,7,,,<MQL,,0.17,,,,.,.,<MQL,18,39,2.1
2/18/2013,,HN5,GRB,47.2,0.93,10,,,<MQL,,0.17,,,,.,.,<MQL,17,38,5.8
2/18/2013,,HN5,GRB,14.7,9.68,392,,,0.49,,0.53,,,,10.17,9.53,0.15,9,17,6.2
4/8/2013,,HN5,GRB,53.7,1.34,6,,,0.03,,0.16,,,,1.37,1.29,0.05,15,28,28.8
7/15/2013,,HN5,GRB,241,1.03,<MQL,,,<MQL,,0.15,,,,.,.,<MQL,16,18,5.9
1/16/2014,,HN5,GRB,53.4,1.44,18,,,0.17,,0.43,,,,1.61,.,<MQL,17,39,8.1
3/11/2014,,HN5,GRB,45.1,2.87,25,,,1.38,,0.46,,,,4.25,2.20,0.67,17,41,8.3
3/31/2014,,HN5,GRB,35.6,9.56,98,,,9.52,,0.28,,,,19.08,6.04,3.52,12,23,51.1
6/25/2014,,HN5,GRB,29.8,3.19,91,,,3.62,,0.19,,,,,,1.44,13,20,14.0
8/12/2014,,HN5,GRB,31.9,1.23,57,,,1.21,,0.34,,,,,,0.18,11,28,7.0
10/16/2014,,HN5,GRB,47.0,1.19,28,,,0.36,,0.67,,,,,,0.09,13,26,13.4
11/12/2014,,HN5,GRB,41.8,1.17,18,,,1.07,,0.40,,,,,,0.19,18,38,21.8
11/12/2014,,HN5,GRB,41.8,1.17,18,,,1.07,,0.40,,,,,,0.19,18,38,21.8
12/7/2014,,HN5,GRB,28.2,0.50,96,,,1.90,,1.08,,,,,,0.26,10,24,12.8
1/14/2015,,HN5,GRB,30.1,0.76,59,,,0.16,,0.56,,,,,,0.33,10,29,8.8
1/19/2011,1/20/2011,HN5,GRB,,0.009,66,4.66,0.00874,4.66874,0.159765243,0.316922074,75.1,0.49,0.972,,,,,,
1/26/2011,1/27/2011,HN5,GRB,,0.063,132,1.26,0.0152,1.2752,0.209651125,0.648842517,250,0.643,1.99,,,,,,
2/16/2011,2/17/2011,HN5,GRB,,0.065,114,0.386,0.011,0.397,0.068470818,0.08379524,170,0.21,0.257,,,,,,
3/2/2011,3/3/2011,HN5,GRB,,2.94,1040,1.26474,0.00526,1.27,0.091294425,1.32050864,1936,0.28,4.05,,,,,,
3/7/2011,3/8/2011,HN5,GRB,,0.362,345,0.842,0.398,1.24,0.065210303,0.551027062,468,0.2,1.69,,,,,,
3/15/2011,3/16/2011,HN5,GRB,,0.174,113.33,0.67465,0.00435,0.679,0.097815455,0.035539615,138,0.3,0.109,,,,,,
3/30/2011,3/31/2011,HN5,GRB,,2.11,372,3.8935,0.0265,3.92,0.260841213,0.877078578,411.2,0.8,2.69,,,,,,
4/20/2011,4/21/2011,HN5,GRB,,0.335,500,6.421,0.269,6.69,0.280404304,0.864036518,497,0.86,2.65,,,,,,
4/25/2011,4/26/2011,HN5,GRB,,0.087,0,1.8158,0.0342,1.85,0.270622758,0.358656668,87.9,0.83,1.1,,,,,,
2/16/2011,2/17/2011,HN5,GRB FD,,0.069,116,0.151,0.00964,0.16064,0.061949788,0.453211607,191,0.19,1.39,,,,,,
3/2/2011,3/3/2011,HN5,GRB FD,,2.99,1120,1.3447,0.0553,1.4,0.055428758,3.221388979,1826,0.17,9.88,,,,,,
4/25/2011,4/26/2011,HN5,GRB FD,,0.082,40,1.9606,0.0394,2,0.231496576,0.361917183,88.7,0.71,1.11,,,,,,
12/8/2011,,HN6,GRB,27.4,0.97,6,,,0.11,,0.36,,,,1.08,.,<MQL,22,78,3.2
1/19/2012,,HN6,GRB,46.3,1.08,17,,,<MQL,,0.30,,,,.,1.04,0.04,27,66,2.4
1/28/2012,,HN6,GRB,37.8,0.94,18,,,<MQL,,0.44,,,,.,.,<MQL,24,71,3.1
2/20/2012,,HN6,GRB,44.3,0.73,44,,,<MQL,,0.45,,,,.,.,<MQL,17,76,6.7
5/16/2012,,HN6,GRB,203,.,30,,,9.60,,0.09,,,,.,.,0.71,24,29,9.3
6/6/2012,,HN6,GRB,159,1.57,54,,,<MQL,,0.51,,,,.,1.32,0.25,22,58,6.9
7/8/2012,,HN6,GRB,299,1.07,134,,,<MQL,,1.22,,,,.,1.03,0.04,13,85,6.7
12/12/2012,,HN6,GRB,52.7,1.06,19,,,2.39,,0.44,,,,3.45,.,<MQL,16,45,17.3
2/4/2013,,HN6,GRB,40.0,1.28,<MQL,,,<MQL,,0.23,,,,.,.,<MQL,20,44,2.7
2/18/2013,,HN6,GRB,45.1,1.78,10,,,0.02,,0.19,,,,1.8,1.71,0.07,17,47,9.7
2/18/2013,,HN6,GRB,.,10.0,.,,,0.19,,0.92,,,,10.19,9.90,0.10,13,23,.
4/8/2013,,HN6,GRB,50.1,1.49,17,,,<MQL,,0.55,,,,.,1.30,0.19,21,37,17.9
7/15/2013,,HN6,GRB,266,1.25,13,,,0.08,,0.21,,,,1.33,1.12,0.13,16,23,6.0
